Player,Team,F1,F2,F3,F4,F5,F6
Pape Matar Sarr,Tottenham Hotspur,1,1,1,1,1,1
Richarlison,Tottenham Hotspur,1,1,1,1,1,1
Mads Hermansen,West Ham United,1,1,1,1,1,1
Aaron Wan-Bissaka,West Ham United,1,1,1,1,1,1
Konstantinos Mavropanos,West Ham United,1,1,1,1,1,1
Axel Disasi,West Ham United,1,1,1,1,1,1
El Hadji Malick Diouf,West Ham United,1,1,1,1,1,1
Tomas Soucek,West Ham United,1,1,1,1,1,1
Mateus Fernandes,West Ham United,1,1,1,1,1,1
Jarrod Bowen,West Ham United,1,1,1,1,1,1
Pablo,West Ham United,1,1,1,1,1,1
Crysencio Summerville,West Ham United,1,1,1,1,1,1
Valentin Castellanos,West Ham United,1,1,1,1,1,1
Jose Sa,Wolverhampton Wanderers,1,1,1,1,1,1
Yerson Mosquera,Wolverhampton Wanderers,1,1,1,1,1,1
Santiago Bueno,Wolverhampton Wanderers,1,1,1,1,1,1
Ladislav Krejci,Wolverhampton Wanderers,1,1,1,1,1,1
David Moller Wolfe,Wolverhampton Wanderers,1,1,1,1,1,1
Joao Gomes,Wolverhampton Wanderers,1,1,1,1,1,1
Andre,Wolverhampton Wanderers,1,1,1,1,1,1
Rodrigo Gomes,Wolverhampton Wanderers,1,1,1,1,1,1
Mateus Mane,Wolverhampton Wanderers,1,1,1,1,1,1
Hwang Hee-Chan,Wolverhampton Wanderers,1,1,1,1,1,1
Adam Armstrong,Wolverhampton Wanderers,1,1,1,1,1,1
